date;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31;2014-01-31;2014-02-28;2014-03-31;2014-04-30;2014-05-30;2014-06-30;2014-07-31;2014-08-29;2014-09-30;2014-10-31;2014-11-28;2014-12-31;2015-01-30;2015-02-27;2015-03-31;2015-04-30;2015-05-29;2015-06-30;2015-07-31;2015-08-31;2015-09-30;2015-10-30;2015-11-30;2015-12-31;2016-01-29;2016-02-29;2016-03-31;2016-04-29;2016-05-31;2016-06-30;2016-07-29;2016-08-31;2016-09-30;2016-10-31;2016-11-30;2016-12-30;2017-01-31;2017-02-28;2017-03-31;2017-04-28;2017-05-31;2017-06-30;2017-07-31;2017-08-31;2017-09-29;2017-10-31;2017-11-30;2017-12-29;2018-01-31;2018-02-28;2018-03-30;2018-04-30;2018-05-31;2018-06-29;2018-07-31;2018-08-31;2018-09-28;2018-10-31;2018-11-30;2018-12-31;2019-01-31;2019-02-28;2019-03-29;2019-04-30;2019-05-31;2019-06-28;2019-07-31;2019-08-30;2019-09-30;2019-10-31;2019-11-29;2019-12-31;2020-01-31;2020-02-28;2020-03-31;2020-04-30;2020-05-29;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-30;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31;2022-01-31
performance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0002837903622729381;0.00034989601109087934;0.00042380694269439443;0.0005168412247400521;0.0007348179580175557;0.0008231360379731936;0.0007077659848141643;0.0009844946738171354;0.0007273124831509787;0.000673773956094819;0.000694607739739582;0.0008657524390366249;0.0009671547132623663;0.0007812786334545646;0.0007368873002906341;0.0005940463406161612;0.0006565421444055884;0.000666062777979871;0.0006723428751928791;0.0006355970652040359;0.000633547846959464;0.0006366746119465851;0.000487340453298078;0.00045816450520233494;0.0005335531731247918;0.000532292976965723;0.0006168077454877392;0.0006105282294445123;0.0006691879810779552;0.0007526419480096184;0.0006703890509030697;0.0006125892174968014;0.0006044285637448952;0.0006584592505904194;0.0006933779493126575;0.0006378091175317657;0.0006002028219514385;0.0006397843911302263;0.0007489772308467384;0.0007149644790089685;0.0006359637678172909;0.0006648174102246374;0.0004726502730680843;0.0005570947894664066;0.0004726949297607281;0.0005258496557489485;0.000508579136220539;0.000417608060366595;0.0004129804954031425;0.00043032747612534964;0.00019673915652271325;0.00016700383128441735;8.851589636050698e-05;9.473325029764421e-05;1.8683645868130093e-05;-0.00016953444461605374;-0.00013416852738337717;7.3289815963469805e-06;9.127794161686202e-05;0.00010334170961670827;0.0002656473015775316;0.0002500512080017814;0.00023725869626508135;0.00023661049611164366;0.00023359152706952177;0.0003998104310345781;0.0002753629482707478;0.00021329853307626648;0.00037410221755161205;0.0003654879272512893;0.0;0.0003230444294487882;0.00043765602564412585;0.00031329572295039806;0.00035788841787394405;0.00048347524060910136;0.0006321443972086127;0.000622644088189178;0.0006996375566656306;0.0011350860824301766;0.0011937466246877125;0.0012154388253142751;0.0011649877876785245;0.0012387232568373857;0.001382228356466555;0.0010166830574397994;0.0008651100187078645;0.0009782521323263974;0.0008527286854289996;0.0008181466708682579;0.0008194372491641845;0.0008493420226381221;0.0008408401213463057;0.0008444340200490887;0.0006894276286752725;0.0007918316398273282;0.0007588257526861503;0.0007151806789620568;0.0008049998484682478;0.0008479894918886724;0.0008493703572938949;0.0008130120579465654;0.0008808599264321994;0.000844498189967285;0.0;0.0008331003675208557;0.0008226521966126954;0.0006261455142367423;0.0007178753299374029;0.0006362000536179271;0.0006570050160290827;0.0008337367249271413;0.000830428991856041;0.0010991331006753428;0.0010081821941612856;0.0010439391909443682;0.0009156957703553625;0.0009112453209084675;0.0009154205083337405;0.0008566205658253876;0.0008388650433101093;0.0008747439112217554;0.0008644943837686147;0.000924997680757324;0.0009628246916172528;0.0009134428517558544;0.0008274302223687811;0.0008737082666456547;0.0009353237478638079;0.0009129646146476132;0.0008916762066007423;0.0007821212821925701;0.0007961027727321733;0.0006673059122142048;0.0005392212812891992;0.000713262234396907;0.0006743352706671356;0.0006441168278324189;0.0005181055843829066;0.0005868153882213157;0.0005833494677617663;0.0005210666427282955;0.0005188496709803826;0.0005153448529127842;0.0005471569531829454;0.0005882535194685747;0.0005231192874846196;0.00046397389327114435;0.00048117148995191646;0.0005405059331560927;0.0005207362897214404;0.0006100831546595422;0.0005552109072030095;0.0005556220595632752;0.0006108409697503206;0.0005729455064469337;0.000609211543650652;0.0005879585751805116;0.0006139230427409355;0.0006904706727626845;0.0006975290857266204;0.0007317508217540918;0.0009250053708451838;0.0008580803367274033;0.0;0.0007410352909805976;0.0009173906955945311;0.0009810379876277488;0.0008728135514489896;0.0008894292430399674;0.0009124065972760174;0.0007451502583380016;0.0007092227725968344;0.0005373349633434834;0.0006990803630604706;0.0007477809062712573;0.000824986396071776;0.0008196014754231211;0.0006881367625096612;0.0007414145226272908;0.0007310648657512511;0.0007137390051939304;0.000676669322616488;0.0006942296364417876;0.0007535897752378077;0.0007875286929242955;0.0007976491049552109;0.0006186036550278062;0.0005033273581545026;0.0006841053363657925;0.0006952400447099224;0.0008268809076247985;0.0008156254948588612;0.00103721665172991;0.000894353051473238;0.0008365927069891015;0.0009585502734880911;0.0010531673312751265;0.0;0.0;0.0011347274490456426;0.0013406300440897084;0.0;0.0013172235812947148;0.0;0.0012674856800779753;0.0012350570730076077;0.0;0.0012147704775795057;0.001359821845697746;0.0011393712418809303
volatility;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00015833376951184368;0.00015608383861133936;0.00015026067933595244;0.00014903826671351837;0.00013976831028697972;0.00011108666671870967;0.00010195854876871896;8.880921511136334e-05;7.495314482409774e-05;7.068120753995356e-05;6.689727841322012e-05;6.187870892421782e-05;5.7130058516011715e-05;5.0493834212228754e-05;4.830548584183313e-05;4.693315915950302e-05;4.578164439114809e-05;4.372318008422761e-05;4.433998629314242e-05;4.2355414378992474e-05;4.210311192250119e-05;4.174391958728429e-05;4.2265518263350234e-05;4.39724615311566e-05;4.420909679702896e-05;4.2461094264678175e-05;4.1274138224309424e-05;4.0287353716275226e-05;4.0957764989466265e-05;3.8867210786296714e-05;3.880525390524464e-05;3.9918854376179416e-05;4.113414548852079e-05;4.0775146038750214e-05;4.1232204309726615e-05;4.231446945973261e-05;4.456496071135304e-05;5.121843805807211e-05;5.171698136794327e-05;5.332423599050826e-05;6.045969501504517e-05;6.368410227283066e-05;6.984963576768957e-05;7.310106387027196e-05;7.917933074960794e-05;8.481730566728083e-05;8.552013375612845e-05;8.866563390632074e-05;9.461490786216834e-05;9.859759908467575e-05;0.00013575483056515441;0.0002217340398819032;0.0002746588278276364;0.00030405127233240625;0.00031259034485997403;0.0003202770754172717;0.0003652031303664707;0.00039586692512867205;0.0004228124767936736;0.00042768618765637274;0.00043583455030313164;0.0004583940180398863;0.00046160125534097104;0.00045676190360688433;0.00045418357835587495;0.00045272915632691986;0.00045321861154448944;0.00045823977304538887;0.00046684291484777086;0.0004667674272160756;0;0.00046155887860037566;0.0004655654404879057;0.0004494088151834188;0.0004535652238150756;0.00044852709127798815;0.0004504101903716005;0.00045783445875911073;0.000456727135241935;0.0004009081019187801;0.0003083811301468588;0.00022409426156756618;0.00020555963476369277;0.00018059346452463268;0.00014419529238706685;0.00013980962501977535;0.00013352365977905233;0.00014287784296217366;0.0001460434017366156;0.00014609661860418138;0.00014757708310370052;0.00014674963553793963;0.0001438288121029523;0.00014214434570510332;0.00013810253178472387;0.00013894511661347394;0.0001378641500778952;0.0001395754653115242;0.00013288580873872834;0.00012390529540362325;0.0001226450940681908;0.00012147583445066709;0.00011818073016955338;0.00011741175285407963;0;0.00011530987141696181;0.00011911266666545604;0.00012012146660238489;0.00011894984094123489;0.00011868035056323882;0.00011984736944543934;0.0001191539037834978;0.00011833343651700975;9.524184470306739e-05;8.414529337477162e-05;7.576993700950616e-05;6.579393507327353e-05;5.723325839154225e-05;5.354487653249468e-05;5.3079382427479025e-05;5.357782166814275e-05;5.2279125343645814e-05;5.097083074041962e-05;5.1043573969588274e-05;4.76828747106795e-05;4.838829068506632e-05;5.071377163646556e-05;5.152254228720826e-05;5.1551291160594293e-05;5.130594571454791e-05;5.025410703500791e-05;5.1187383238877424e-05;5.1116307624716834e-05;5.902096021651003e-05;6.337718698258626e-05;6.422642428931601e-05;6.333197457957764e-05;6.704987382941818e-05;7.131622873316359e-05;7.350814764923671e-05;7.340525403149082e-05;7.489844492038713e-05;7.570345702976622e-05;7.494513551940286e-05;7.55615997883808e-05;7.471825871474225e-05;7.724088243012775e-05;7.728042441511681e-05;8.011383418746917e-05;7.89740838032698e-05;7.967235920772069e-05;7.70169493817119e-05;7.51533965489864e-05;7.529112687759935e-05;7.132159461207493e-05;6.958092867264953e-05;6.876630422521735e-05;6.813900180891415e-05;6.753119442930478e-05;6.733158025860787e-05;6.5193378415732e-05;6.454696338626622e-05;5.287101394169854e-05;5.8632871361535454e-05;0;6.284152812890007e-05;5.9663289544478245e-05;5.1674862631516966e-05;4.818230760012066e-05;4.761069148362847e-05;4.680458116213148e-05;5.161905525913395e-05;5.0779276468373974e-05;6.172468715407997e-05;6.608699259729977e-05;6.589773275932159e-05;6.617894528720286e-05;6.62531985053056e-05;6.691742429491916e-05;6.892844645461262e-05;6.939200563570374e-05;7.513749992860193e-05;7.552479268727334e-05;7.831403539974886e-05;7.897669272709804e-05;7.9765868826303e-05;8.10301929893124e-05;8.946910794280524e-05;0.00020944753234662273;0.00023485900630715092;0.0002414157320223363;0.0002479957476891182;0.0002458855422299588;0.00024272557148608814;0.0002473145847514614;0.00025303923912334237;0.00026083135802400253;0.0002656314841214113;0;0;0.00026404507830758;0.00025708729648950284;0;0.00024345548683934743;0;0.00024340486803531985;0.000243178662727059;0;0.00024293890485305666;0.000240333596839935;0.00024182093714262624
maximum drawdown;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0023058952244555024;0.003126457762373267;0.003831511933370687;0.004811269937559938;0.005534557068266486;0.00620415082911303;0.0068939699639581605;0.007753010215490744;0.008711739329000368;0.009485607060333452;0.01021496708110911;0.010802596178995948;0.011451619852346663;0.012109616865277005;0.012773371655045374;0.013400451432646584;0.014025113699018613;0.014652459462023261;0.015132425272329756;0.015583449993876352;0.015829189523349114;0.016008603792127686;0.0161983978550893;0.01629051104271632;0.016225993386080946;0.0161566952894095;0.016119946878962354;0.01575426053435366;0.015633385620479927;0.015618320255601194;0.015617110511244902;0.0153928700284069;0.015031783305135805;0.014892505081634344;0.014904406049284304;0.015023436871833731;0.015003180535483105;0.015001954667183775;0.014805350769309559;0.014728053809033966;0.014569644821380357;0.014460491943435155;0.014481412864610108;0.014441460418859598;0.014322678041495951;0.014222216191189732;0.013808203361047242;0.01337087627327165;0.012798018990130585;0.012148591742779557;0.011504815668731126;0.01089927417726227;0.010301433446154208;0.009649757269710702;0.008963070249305202;0.008330977859699482;0.007898319466347184;0.007511761179772181;0.007004007021703357;0.006529115797709109;0.006129464047177659;0.005866186679776485;0.005670110671323733;0.005328336677647384;0.005230305974106651;0.005070841268939914;0.0045648410567919115;0.004470739492805232;0.004495293958768572;0.004378824787020101;0.004539211003621778;0.004955396463102917;0.005584010959069734;0.006202792914920098;0.006897604648322684;0.0080235832730484;0.00920633986060161;0.010401874335491616;0.011463179179479376;0.012584157063211964;0.013685165042283164;0.014440537434022377;0.015058787391707861;0.015788546915392224;0.016397389620040687;0.016808529864535335;0.017343021094270515;0.017967503269222244;0.01842546998141866;0.01889519461589963;0.01957112936726477;0.02003037823471941;0.020344876161525194;0.020738303446283062;0.02117579036745025;0.02153228343898019;0.021744651648860264;0.021930728850421678;0.022107820888256;0.021823897034052984;0.020656202612787385;0.020282073502743768;0.019946956871731123;0.019346973867609373;0.018695941421855083;0.018322809292665294;0.018118651490963134;0.017976872714038496;0.017954992069540085;0.018230630426985736;0.01841574780060569;0.0186065621179939;0.018679957752647493;0.01874546133139964;0.018967015055448483;0.0190305207286459;0.019108971020683117;0.019265348373624282;0.019323646327721794;0.019399096646214715;0.01951024305443562;0.01960862455317074;0.0195562858387483;0.019584899674672702;0.020501048305200498;0.02057920389824817;0.020646747222285933;0.02079938321812736;0.02087592264511107;0.020906358829963306;0.020791099674435747;0.020673214064399995;0.020520450316106775;0.020075058066726527;0.019595068458642978;0.01914716486484948;0.018821372102738463;0.018438736501295183;0.018049679791062125;0.017714736606734033;0.0174283527455104;0.01714702090380872;0.016811674799451913;0.016358611803358087;0.01588506563635721;0.01551825111061515;0.015216473677889452;0.014957018299836419;0.014582798584757098;0.014230862627560698;0.01395419291957964;0.013748054129256306;0.0135638445135329;0.013485619424553051;0.013559268571571182;0.013536801559655089;0.013559665456409695;0.013646047952228981;0.014047024259455804;0.014314249441974661;0.013739250184006143;0.013956035982040716;0.014348654768952966;0.014807215967694243;0.015127770713852165;0.015424126732423528;0.015807060234359994;0.016083585974460975;0.016307810349661823;0.01630469276660998;0.01648000643628254;0.01661533373289276;0.01688040812921;0.01713971893327493;0.017215637655407897;0.01738108370594502;0.017500731614871885;0.017624222654965164;0.01768582139845348;0.017689511320119502;0.01774453885524127;0.0177992838605467;0.017674294142921168;0.017439195475429447;0.017933496414211235;0.01787762563423187;0.017659598090997222;0.01750828847809997;0.017452147476534174;0.01759720522126423;0.017579485215353383;0.017669245060398613;0.01791393258728065;0.018419991404332908;0.017733788095550946;0.01699926817741344;0.01730339875384902;0.017814726256417383;0.01713884846195894;0.017704044327105435;0.0169859222661434;0.017529573972300365;0.018077496707466147;0.01739581700499132;0.01784842527706213;0.018409740609410707
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
performance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0028313086294167495;0.0028208627646591736;0.0030127300482419165;0.00315896965986977;0.0033262743803790466;0.0032525153104906133;0.0030198891191067926;0.0032820082863128258;0.002847397587438596;0.0026784176845475304;0.0026445226249685767;0.0027816079011541185;0.0027408193184867615;0.0025552996930676745;0.002477757417865897;0.0022097648853576313;0.0022828981443104163;0.0022630795253080764;0.0023698043990396456;0.0022371103613763274;0.0022738929304562143;0.0022798609605519044;0.0020470318945550654;0.0019982853250520476;0.0019751982009031687;0.0018923265420435077;0.001969492958856967;0.0020153128258919074;0.00212397017044351;0.002106629168538223;0.002113398619732572;0.002037371572918497;0.002063524947651421;0.0021094141845003616;0.0021224927542691455;0.002089838586762856;0.002100276014702045;0.0020966757353911504;0.0021270238251975193;0.0021955544462970225;0.0021964543324897853;0.002183538820248393;0.0019826694762059708;0.002139731305947383;0.0021391761845228913;0.0022592761280983225;0.002210104913513745;0.0020900736911499823;0.002061460269914683;0.0019813734438711753;0.0018525431273736178;0.0018077670680830223;0.0018545789729351864;0.0019061188686985571;0.0018060523884528006;0.001633038409774292;0.0017673363324242867;0.0019394564108360288;0.002024380770316727;0.001989962287769913;0.0019482157637275954;0.0019433847580404046;0.0020411232426773736;0.0020381980773172574;0.0021007478424999067;0.0022649258612423523;0.002363930174163727;0.002357723673989503;0.0025095602571453598;0.0027809997730434462;0;0.0027511852549966984;0.0028471522681969346;0.0028753774581303498;0.003009271099769315;0.003093048890241417;0.003474109136930843;0.003320790677891797;0.0036482283141969596;0.00414329553331928;0.004147151425373101;0.003822890706151166;0.0035557250231618223;0.0035132818590052194;0.0033377823193735394;0.002924162562863642;0.0026528341725703107;0.0028061625209489837;0.0028254956050741994;0.0028447571599566554;0.0028820495386282985;0.0030178805888679684;0.003074707393468205;0.0030493848104658364;0.0028277421257271508;0.0027445090377059287;0.002632064519962991;0.002604655944097944;0.0026499983565389947;0.0025418987655128717;0.0025865414232799366;0.0025827566769806307;0.0026151178258808417;0.002614916216825393;0;0.0026848223558134264;0.002835367174133444;0.002682303650481251;0.0026693466636832407;0.0025833545301657615;0.0026435629241508573;0.0026983629250088327;0.0026327567694986002;0.0026080021838932954;0.0024701528335879814;0.0025049800967645013;0.0022284469819877665;0.002102588866090065;0.0021376550289479088;0.0020524544215180965;0.0020427184155184944;0.002132650487216979;0.002098628366153191;0.002061695417863614;0.0020226022619078713;0.002088967628101808;0.0021494589936545483;0.002205521846047405;0.0022465980663365416;0.002138197601429178;0.00212211318465646;0.002037294649412536;0.0020026329479259017;0.0019977995977185645;0.001858020831344954;0.001932162490682345;0.0019194148319948115;0.0019147091786089442;0.001967175498022928;0.002019440777725475;0.0019695948406939466;0.0019993883486421797;0.002055160812711828;0.0020244202364314593;0.0020920222516218924;0.002133343821640715;0.0021984544166793124;0.001930016574071292;0.001965973331970254;0.0019011169351953695;0.001968024913317502;0.0020668549802021945;0.0019379300229828609;0.0020654849606133573;0.002243257368689913;0.002232402954440448;0.0023404183077486156;0.0023726821842646527;0.0024046962279002807;0.002408873770239334;0.002446557206348396;0.0024171396117757737;0.002360277974222705;0.0023711534912393617;0;0.00234286303467287;0.0023981069968730833;0.0023671590028415098;0.0021530598030518495;0.0022032930173600564;0.002137867363589404;0.0020143924243608362;0.0019977689112739725;0.00204885603285217;0.002233660130673811;0.0023656931524837317;0.002462877333754209;0.00238865624531427;0.002326400774418276;0.0023201741226977915;0.0023155583962672045;0.002331184342156027;0.002192292000220684;0.0018509528164759948;0.001882572192140919;0.0017639896180369893;0.0018248752246607014;0.0018785907606389933;0.002347497583747826;0.002538404086248007;0.002586133877364059;0.0030239701423748966;0.0029685057269579155;0.003109210950445796;0.002992768910234015;0.0028924992670838826;0.00311154958407588;0.003098880228878359;0;0;0.003373152666110486;0.0035074351545651386;0;0.003726771928423931;0;0.0038598790908738814;0.003904730707624788;0;0.004112162173089226;0.00406767786478785;0.0037436650567447254
volatility;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00015833377037803144;0.0001560838387435709;0.00015026067828315858;0.00014903826683750608;0.000139768310390556;0.00011108666694989628;0.00010195854918270894;8.880921612965649e-05;7.495314485234263e-05;7.068120792750752e-05;6.68972786348596e-05;6.187870890454773e-05;5.713005903060339e-05;5.049383421690727e-05;4.83054874359619e-05;4.693315948286732e-05;4.5781644405593815e-05;4.372318075172825e-05;4.4339986939935034e-05;4.2355414388688874e-05;4.210311268883988e-05;4.174391984974924e-05;4.2265518311445375e-05;4.39724628470646e-05;4.4209098339978884e-05;4.246109472651079e-05;4.127413825660725e-05;4.0287353743161305e-05;4.095776593936844e-05;3.8867210479494144e-05;3.8805254736525634e-05;3.991885469722576e-05;4.113414568046904e-05;4.077514616083383e-05;4.1232205281873336e-05;4.2314469496786604e-05;4.4564961976358925e-05;5.121843811189e-05;5.171698181427008e-05;5.332423681331206e-05;6.0459695071766065e-05;6.368410384328985e-05;6.984963588378401e-05;7.310106390216462e-05;7.91793308728144e-05;8.481730346816833e-05;8.552013456491721e-05;8.866563473185364e-05;9.461490790695959e-05;9.859759919452789e-05;0.0001357548311575104;0.0002217340409336361;0.00027465883034766215;0.0003040512727848015;0.0003125903449202306;0.00032027707749052907;0.0003652031305245789;0.00039586692530540525;0.0004228124777011588;0.0004276861894915968;0.000435834554138055;0.0004583940204896952;0.00046160125557699713;0.000456761904152189;0.00045418358020741503;0.0004527291573332697;0.0004532186122401551;0.0004582397750749043;0.0004668429153321237;0.0004667674280605591;0;0.0004615588822569957;0.0004655654514750258;0.0004494088151935628;0.0004535652165830134;0.00044852709139369567;0.00045041019144964405;0.0004578344586655905;0.0004567271364701869;0.0004009081024688208;0.00030838113110903144;0.00022409426166053838;0.00020555963481194893;0.00018059346458488502;0.00014419529246686253;0.00013980962507949548;0.00013352365985137778;0.00014287784313373397;0.00014604340199582405;0.00014609661871956692;0.00014757708311741868;0.00014674963571668356;0.00014382881211866445;0.00014214434578594109;0.00013810253232298308;0.00013894511688991026;0.00013786415018875978;0.00013957546533216447;0.00013288580911900673;0.00012390529551339197;0.00012264509417107567;0.00012147583451846748;0.00011818073025324821;0.00011741175289887278;0;0.00011530987156339469;0.00011911266673668569;0.0001201214666909002;0.00011894984098687845;0.0001186803506045459;0.00011984736944809223;0.00011915390381362422;0.00011833343661476841;9.524184471876558e-05;8.414529342119525e-05;7.576993705158964e-05;6.579393507957125e-05;5.723325840161093e-05;5.3544876553158245e-05;5.307938247627023e-05;5.357782298287274e-05;5.227912551711961e-05;5.097083074838582e-05;5.1043574016851784e-05;4.7682874717753384e-05;4.838829069704426e-05;5.07137716538179e-05;5.15225423539507e-05;5.1551291168608614e-05;5.1305945742811793e-05;5.025410704303429e-05;5.1187385316701997e-05;5.1116314108630765e-05;5.9020991847329095e-05;6.337718767299374e-05;6.422642884077396e-05;6.333197566228703e-05;6.704989411437801e-05;7.131640411552955e-05;7.350816147015565e-05;7.340529210287876e-05;7.489844982938907e-05;7.570345743254192e-05;7.494513744434368e-05;7.556160020885375e-05;7.471826035067389e-05;7.724088308835389e-05;7.728042556487297e-05;8.011383464192045e-05;7.897412930402958e-05;7.967247475567098e-05;7.701695500531884e-05;7.515339782796612e-05;7.529152893937262e-05;7.132364015863116e-05;6.958094008249532e-05;6.876721285702041e-05;6.813907044085915e-05;6.753123032881067e-05;6.73315830944299e-05;6.519338560245255e-05;6.454699375601955e-05;5.287105319401733e-05;5.863298663397968e-05;0;6.284159049715031e-05;5.966340423861152e-05;5.16748998072543e-05;4.818242430851371e-05;4.7611927270870496e-05;4.680459758298739e-05;5.161907374951949e-05;5.077932216731706e-05;6.172469937377724e-05;6.608704277758846e-05;6.589781459808008e-05;6.617897184461874e-05;6.625346361097003e-05;6.6917448577123e-05;6.892891999109044e-05;6.939209765883054e-05;7.513754684100523e-05;7.552485933288739e-05;7.831404269004869e-05;7.897669466401403e-05;7.976587010948901e-05;8.103019522122845e-05;8.94691165948555e-05;0.0002094475326597708;0.00023485900640906303;0.00024141573311516537;0.00024799574839495363;0.0002458855496804661;0.00024272557169930964;0.0002473148513758546;0.00025303924011953703;0.0002608313583722143;0.0002656315784567307;0;0;0.0002640450788635237;0.0002570872982429694;0;0.00024345548888484353;0;0.00024340539086356502;0.00024317866465727524;0;0.00024293892059901772;0.0002403336198167644;0.00024182094865523156
